antecedents,consequents,support,confidence,lift
"demand_MED, fossil_LOW",price_LOW,0.057582505424232044,0.5234881910199845,1.5703300809324325
"is_WEEKDAY, time_MORNING",price_HIGH,0.09258307639602603,0.5189630340854536,1.557155829873674
"is_WEEKDAY, season_AUTUMN",price_HIGH,0.09215484755053101,0.5177225340817964,1.5534336922920304
"is_WEEKDAY, season_AUTUMN",fossil_HIGH,0.0916980701153363,0.5151563753007217,1.5456015001313643
demand_HIGH,price_HIGH,0.17151992691561038,0.5146038543897217,1.544076050330921
price_HIGH,demand_HIGH,0.17151992691561038,0.5146479355833476,1.5440760503309208
"fossil_HIGH, time_MORNING",renewable_LOW,0.05230101632979331,0.5128779395296753,1.538502052397488
"demand_HIGH, fossil_HIGH",renewable_MED,0.10605801073426972,0.5122724765581907,1.5369490628591267
demand_LOW,fossil_LOW,0.17054927486582164,0.5116478245974649,1.5344178082191784
fossil_LOW,demand_LOW,0.17054927486582164,0.5114726027397261,1.5344178082191782
"demand_LOW, is_WEEKDAY",price_LOW,0.10340299189220052,0.5107883232266253,1.5322337403427446
"is_WEEKDAY, price_LOW",demand_LOW,0.10340299189220052,0.5078519349411105,1.5235558048233315
"is_WEEKDAY, season_AUTUMN",renewable_LOW,0.09035628639945187,0.5076182838813151,1.5227244367384352
"demand_LOW, price_MED",fossil_MED,0.057068630809638005,0.5072316670895711,1.5220860819680884
"is_WEEKEND, price_LOW",renewable_HIGH,0.06546191618134065,0.5045104510451046,1.5135313531353138
"is_WEEKDAY, time_NIGHT",renewable_LOW,0.08984241178485783,0.5031175059952038,1.509223259398818
"demand_HIGH, time_MORNING",price_HIGH,0.06740322028091812,0.5021267545725223,1.506638338116011
"is_WEEKEND, renewable_MED",fossil_MED,0.05033116364051616,0.5011370096645822,1.5037974106511593
"price_LOW, season_SPRING",demand_LOW,0.0683453237410072,0.5009416195856874,1.5028248587570623
"price_MED, renewable_LOW",demand_LOW,0.06206463400708005,0.5001150218541522,1.5003450655624568
"demand_HIGH, price_HIGH",is_WEEKDAY,0.15778805527006967,0.9199400798934754,1.2884310723114216
"fossil_HIGH, price_HIGH",is_WEEKDAY,0.171034600890716,0.9043018867924528,1.2665288480834083
"demand_HIGH, renewable_LOW",is_WEEKDAY,0.08301929884663697,0.9014259144451333,1.2625008768966066
"demand_HIGH, season_AUTUMN",is_WEEKDAY,0.06794564348521183,0.8834446919079436,1.2373170998861036
"demand_HIGH, fossil_HIGH",is_WEEKDAY,0.18233984241178486,0.8807225592939878,1.2335045904418156
"demand_HIGH, time_AFTERNOON",is_WEEKDAY,0.10146168779262305,0.8773142433966922,1.2287310402918565
"demand_HIGH, time_MORNING",is_WEEKDAY,0.11776293251113396,0.8772862611654615,1.2286918495043497
"demand_HIGH, season_SUMMER",is_WEEKDAY,0.07936507936507936,0.8733898837574614,1.2232347400342407
demand_HIGH,is_WEEKDAY,0.2885405960945529,0.865695931477516,1.2124588999517965
"price_HIGH, time_MORNING",is_WEEKDAY,0.09258307639602603,0.865492393915132,1.2121738334289982
"fossil_HIGH, season_AUTUMN",is_WEEKDAY,0.0916980701153363,0.8648357565966613,1.211254173613269
"demand_HIGH, season_WINTER",is_WEEKDAY,0.08573141486810551,0.8639240506329112,1.2099772749128195
"demand_HIGH, renewable_MED",is_WEEKDAY,0.1143371017471737,0.856867779204108,1.2000945449804676
